stress	time	resolution	test	pct	n_analyzed	n_tail	n_concordant	annotation	observed	null_mean	OE	empirical_p	null_sd	FDR_BH
heat	6h	100	CHH_loss_to_24_loss	5	1176661	58833	10496	TE	7149	7112.408	1.0051448117149635	0.5504495504495505	59.8966705848259	0.5621612430123069
heat	6h	100	CHH_loss_to_24_loss	5	1176661	58833	10496	promoter	710	748.676	0.9483408042998573	0.057942057942057944	21.0342450176721	0.06783460441997027
heat	6h	100	CHH_loss_to_24_loss	5	1176661	58833	10496	gene_body	1497	1301.65	1.1500787462067374	0.000999000999000999	27.600131653078527	0.0013700585129156559
heat	6h	100	CHH_loss_to_24_loss	5	1176661	58833	10496	intergenic	1140	1001.991	1.1377347700727851	0.000999000999000999	24.18743374049738	0.0013700585129156559
heat	6h	100	CHH_gain_to_24_gain	5	1176661	58833	22260	TE	15212	11742.376	1.2954788707157734	0.000999000999000999	70.21992211232836	0.0013700585129156559
heat	6h	100	CHH_gain_to_24_gain	5	1176661	58833	22260	promoter	1719	1303.611	1.3186449025054252	0.000999000999000999	27.967228050789103	0.0013700585129156559
heat	6h	100	CHH_gain_to_24_gain	5	1176661	58833	22260	gene_body	3048	2503.976	1.217264063233833	0.000999000999000999	40.016681006284855	0.0013700585129156559
heat	6h	100	CHH_gain_to_24_gain	5	1176661	58833	22260	intergenic	2281	1636.511	1.3938189233069622	0.000999000999000999	29.26917428906329	0.0013700585129156559
heat	12h	100	CHH_loss_to_24_loss	5	1176662	58833	10288	TE	6881	7044.331	0.9768138379641729	0.006993006993006993	59.08035144552651	0.009072009072009073
heat	12h	100	CHH_loss_to_24_loss	5	1176662	58833	10288	promoter	756	782.907	0.965631933294759	0.22977022977022976	21.773755933404036	0.25648769834816343
heat	12h	100	CHH_loss_to_24_loss	5	1176662	58833	10288	gene_body	1590	1351.094	1.1768241143843432	0.000999000999000999	27.56797339590194	0.0013700585129156559
heat	12h	100	CHH_loss_to_24_loss	5	1176662	58833	10288	intergenic	1061	975.989	1.0871024161132963	0.000999000999000999	24.635782934601465	0.0013700585129156559
heat	12h	100	CHH_gain_to_24_gain	5	1176662	58833	23083	TE	16330	12615.957	1.2943924903992619	0.000999000999000999	73.99478616348168	0.0013700585129156559
heat	12h	100	CHH_gain_to_24_gain	5	1176662	58833	23083	promoter	1619	1221.78	1.325115814631112	0.000999000999000999	26.67202648838286	0.0013700585129156559
heat	12h	100	CHH_gain_to_24_gain	5	1176662	58833	23083	gene_body	2630	2145.022	1.2260946507774746	0.000999000999000999	37.930175509931594	0.0013700585129156559
heat	12h	100	CHH_gain_to_24_gain	5	1176662	58833	23083	intergenic	2504	1801.201	1.3901835497537476	0.000999000999000999	31.644746625450942	0.0013700585129156559
heat	24h	100	CHH_loss_to_24_loss	5	1176593	58830	10443	TE	7162	7207.323	0.9937115347820543	0.47052947052947053	61.13842145147009	0.4909872735959693
heat	24h	100	CHH_loss_to_24_loss	5	1176593	58830	10443	promoter	745	829.111	0.8985527872625017	0.000999000999000999	22.14206291089315	0.0013700585129156559
heat	24h	100	CHH_loss_to_24_loss	5	1176593	58830	10443	gene_body	1408	1228.449	1.1461607278771848	0.000999000999000999	26.406072780322326	0.0013700585129156559
heat	24h	100	CHH_loss_to_24_loss	5	1176593	58830	10443	intergenic	1128	1019.455	1.1064735569495465	0.000999000999000999	24.354118709123888	0.0013700585129156559
heat	24h	100	CHH_gain_to_24_gain	5	1176593	58830	22000	TE	14760	11539.034	1.2791365377725727	0.000999000999000999	70.88833472441006	0.0013700585129156559
heat	24h	100	CHH_gain_to_24_gain	5	1176593	58830	22000	promoter	1691	1297.756	1.3030184410628807	0.000999000999000999	28.872306351832616	0.0013700585129156559
heat	24h	100	CHH_gain_to_24_gain	5	1176593	58830	22000	gene_body	3399	2756.462	1.2331024334817604	0.000999000999000999	42.40642475923738	0.0013700585129156559
heat	24h	100	CHH_gain_to_24_gain	5	1176593	58830	22000	intergenic	2150	1594.174	1.3486608111787044	0.000999000999000999	28.16208136531863	0.0013700585129156559
heat	6h	500	CHH_loss_to_24_loss	5	235979	11799	2484	TE	1345	1366.672	0.9841425009073135	0.4645354645354645	28.868283526974615	0.4909872735959693
heat	6h	500	CHH_loss_to_24_loss	5	235979	11799	2484	promoter	326	232.959	1.3993878751196562	0.000999000999000999	12.3652018672247	0.0013700585129156559
heat	6h	500	CHH_loss_to_24_loss	5	235979	11799	2484	gene_body	655	399.154	1.640970652930949	0.000999000999000999	15.376498974757574	0.0013700585129156559
heat	6h	500	CHH_loss_to_24_loss	5	235979	11799	2484	intergenic	158	124.479	1.2692904023971916	0.000999000999000999	9.513046675858217	0.0013700585129156559
heat	6h	500	CHH_gain_to_24_gain	5	235979	11799	6284	TE	3795	3437.553	1.103982978589712	0.000999000999000999	30.402327090084608	0.0013700585129156559
heat	6h	500	CHH_gain_to_24_gain	5	235979	11799	6284	promoter	796	671.447	1.1854993767192348	0.000999000999000999	19.466281800259832	0.0013700585129156559
heat	6h	500	CHH_gain_to_24_gain	5	235979	11799	6284	gene_body	1347	1023.683	1.3158370315810657	0.000999000999000999	25.847642283419425	0.0013700585129156559
heat	6h	500	CHH_gain_to_24_gain	5	235979	11799	6284	intergenic	346	311.209	1.1117930394043873	0.001998001998001998	10.424297817358491	0.002664002664002664
heat	12h	500	CHH_loss_to_24_loss	5	235965	11798	2569	TE	1300	1296.96	1.0023439427584504	0.919080919080919	28.058647288985394	0.919080919080919
heat	12h	500	CHH_loss_to_24_loss	5	235965	11798	2569	promoter	393	262.95	1.4945807187678266	0.000999000999000999	13.187927108587667	0.0013700585129156559
heat	12h	500	CHH_loss_to_24_loss	5	235965	11798	2569	gene_body	737	427.574	1.7236782404917044	0.000999000999000999	16.496018993764608	0.0013700585129156559
heat	12h	500	CHH_loss_to_24_loss	5	235965	11798	2569	intergenic	139	120.611	1.1524653638557014	0.057942057942057944	9.305927104769266	0.06783460441997027
heat	12h	500	CHH_gain_to_24_gain	5	235965	11798	6503	TE	4295	3894.888	1.1027274725229583	0.000999000999000999	32.150787379613725	0.0013700585129156559
heat	12h	500	CHH_gain_to_24_gain	5	235965	11798	6503	promoter	739	618.852	1.194146581088855	0.000999000999000999	17.136854080249613	0.0013700585129156559
heat	12h	500	CHH_gain_to_24_gain	5	235965	11798	6503	gene_body	1097	812.374	1.3503632563326744	0.000999000999000999	23.450544813544354	0.0013700585129156559
heat	12h	500	CHH_gain_to_24_gain	5	235965	11798	6503	intergenic	372	350.418	1.061589301919422	0.052947052947052944	10.839777524321095	0.06516560362714209
heat	24h	500	CHH_loss_to_24_loss	5	235970	11798	2420	TE	1345	1371.791	0.9804700570276377	0.34765234765234765	28.335670615484457	0.3792571065298338
heat	24h	500	CHH_loss_to_24_loss	5	235970	11798	2420	promoter	315	239.931	1.3128774522675268	0.000999000999000999	12.394913185370557	0.0013700585129156559
heat	24h	500	CHH_loss_to_24_loss	5	235970	11798	2420	gene_body	616	363.516	1.6945608996577866	0.000999000999000999	15.010364920782408	0.0013700585129156559
heat	24h	500	CHH_loss_to_24_loss	5	235970	11798	2420	intergenic	144	127.641	1.128164147883517	0.0919080919080919	9.437435254569124	0.10503781932353361
