resolution	time	test	pct	n_selected	observed	null_mean	OE	empirical_p	null_sd	FDR_BH
500	6h	CHH_loss_to_24_loss	1	1019	326	184.109	1.7706901889641462	0.000999000999000999	11.138814667288086	0.0014985014985014987
500	6h	CHH_gain_to_24_gain	1	1019	703	685.372	1.0257203387357523	0.08791208791208792	12.50367777727649	0.1130298273155416
500	6h	24_loss_to_CHH_loss	1	1019	628	594.762	1.0558845386894256	0.015984015984015984	14.805085158368612	0.022565669624493155
500	6h	24_gain_to_CHH_gain	1	1019	375	411.552	0.9111849778399813	0.993006993006993	14.363133209561052	1.0
500	6h	CHH_loss_to_24_loss	5	5095	1422	1100.644	1.2919708825015173	0.000999000999000999	26.044031092662205	0.0014985014985014987
500	6h	CHH_gain_to_24_gain	5	5095	3726	3548.275	1.0500877186802038	0.000999000999000999	26.039459065587913	0.0014985014985014987
500	6h	24_loss_to_CHH_loss	5	5095	3183	2997.852	1.0617602203177476	0.000999000999000999	31.804742376533056	0.0014985014985014987
500	6h	24_gain_to_CHH_gain	5	5095	1997	2046.483	0.9758204685795093	0.971028971028971	26.97761113409604	1.0
500	6h	CHH_loss_to_24_loss	10	10190	2877	2375.65	1.2110369793530191	0.000999000999000999	34.25286497154302	0.0014985014985014987
500	6h	CHH_gain_to_24_gain	10	10190	7385	7069.385	1.0446453262907593	0.000999000999000999	37.026987087430875	0.0014985014985014987
500	6h	24_loss_to_CHH_loss	10	10190	6417	6017.927	1.0663140313932025	0.000999000999000999	42.657136592864525	0.0014985014985014987
500	6h	24_gain_to_CHH_gain	10	10190	4041	4018.36	1.00563413930061	0.26973026973026976	35.13367010112628	0.32916236306066815
500	12h	CHH_loss_to_24_loss	1	1019	326	186.066	1.7520664710371587	0.000999000999000999	11.809534669457097	0.0014985014985014987
500	12h	CHH_gain_to_24_gain	1	1019	714	685.564	1.0414782573180623	0.013986013986013986	12.267697436780889	0.020139860139860143
500	12h	24_loss_to_CHH_loss	1	1019	666	633.304	1.051627654333464	0.013986013986013986	14.683500576810326	0.020139860139860143
500	12h	24_gain_to_CHH_gain	1	1019	340	375.058	0.90652645724128	0.996003996003996	14.444974672642847	1.0
500	12h	CHH_loss_to_24_loss	5	5094	1437	1079.372	1.3313296991213408	0.000999000999000999	26.480536906090762	0.0014985014985014987
500	12h	CHH_gain_to_24_gain	5	5094	3707	3511.322	1.05572772875857	0.000999000999000999	28.02269772144694	0.0014985014985014987
500	12h	24_loss_to_CHH_loss	5	5094	3357	3179.646	1.0557779073519504	0.000999000999000999	30.422231939754127	0.0014985014985014987
500	12h	24_gain_to_CHH_gain	5	5094	1799	1838.26	0.9786428470401358	0.9410589410589411	25.471654936521208	1.0
500	12h	CHH_loss_to_24_loss	10	10188	2908	2327.765	1.2492670007496463	0.000999000999000999	34.18216194442936	0.0014985014985014987
500	12h	CHH_gain_to_24_gain	10	10188	7403	7008.55	1.0562812564653172	0.000999000999000999	39.15482857325007	0.0014985014985014987
500	12h	24_loss_to_CHH_loss	10	10188	6858	6465.86	1.0606477715261389	0.000999000999000999	39.278661041502076	0.0014985014985014987
500	12h	24_gain_to_CHH_gain	10	10188	3638	3598.978	1.0108425225161142	0.14685314685314685	35.22928637680046	0.18230045816252713
500	24h	CHH_loss_to_24_loss	1	1019	296	185.933	1.5919713014903218	0.000999000999000999	11.2261541739608	0.0014985014985014987
500	24h	CHH_gain_to_24_gain	1	1019	683	686.714	0.9945916349455522	0.6273726273726273	12.709986142704789	0.7528471528471528
500	24h	24_loss_to_CHH_loss	1	1019	643	616.905	1.042299867888897	0.04095904095904096	14.989484969793313	0.05361910816456271
500	24h	24_gain_to_CHH_gain	1	1019	372	390.523	0.9525687347480173	0.9240759240759241	13.95407421462231	1.0
500	24h	CHH_loss_to_24_loss	5	5095	1359	1082.019	1.2559853385199335	0.000999000999000999	26.52463374290388	0.0014985014985014987
500	24h	CHH_gain_to_24_gain	5	5095	3613	3507.962	1.0299427416830627	0.000999000999000999	29.223733207490493	0.0014985014985014987
500	24h	24_loss_to_CHH_loss	5	5095	3222	3049.506	1.056564571442063	0.000999000999000999	30.85394512748621	0.0014985014985014987
500	24h	24_gain_to_CHH_gain	5	5095	1880	1935.488	0.9713312611599761	0.984015984015984	26.75229974304156	1.0
500	24h	CHH_loss_to_24_loss	10	10189	2805	2362.867	1.1871171758715153	0.000999000999000999	36.19170001740938	0.0014985014985014987
500	24h	CHH_gain_to_24_gain	10	10189	7220	6994.475	1.0322433063239198	0.000999000999000999	36.99821946044489	0.0014985014985014987
500	24h	24_loss_to_CHH_loss	10	10189	6412	6090.0	1.0528735632183908	0.000999000999000999	40.97776442385769	0.0014985014985014987
500	24h	24_gain_to_CHH_gain	10	10189	3930	3853.725	1.019792538388183	0.02197802197802198	35.44962695221278	0.03043110735418428
100	6h	CHH_loss_to_24_loss	1	2795	885	692.227	1.2784823475536204	0.000999000999000999	20.645767573977935	0.0014985014985014987
100	6h	CHH_gain_to_24_gain	1	2795	1935	1747.463	1.1073195827322238	0.000999000999000999	22.48862755637545	0.0014985014985014987
100	6h	24_loss_to_CHH_loss	1	2795	1521	1472.936	1.0326314245832813	0.025974025974025976	25.27367528996649	0.0352854692477334
100	6h	24_gain_to_CHH_gain	1	2795	1219	1361.818	0.8951269552906482	1.0	24.301634624968035	1.0
100	6h	CHH_loss_to_24_loss	5	13975	4406	3903.914	1.1286109273923555	0.000999000999000999	43.75057390156975	0.0014985014985014987
100	6h	CHH_gain_to_24_gain	5	13975	9689	8827.357	1.0976105305359238	0.000999000999000999	47.87464394157446	0.0014985014985014987
100	6h	24_loss_to_CHH_loss	5	13982	7709	7263.54	1.06132822287755	0.000999000999000999	52.18908027643426	0.0014985014985014987
100	6h	24_gain_to_CHH_gain	5	13976	6335	6409.808	0.9883291355996935	0.9370629370629371	48.68298644464171	1.0
100	6h	CHH_loss_to_24_loss	10	27949	9020	8084.406	1.115728230373388	0.000999000999000999	59.55414225610054	0.0014985014985014987
100	6h	CHH_gain_to_24_gain	10	27949	19152	17738.33	1.0796957774491736	0.000999000999000999	70.62456321230545	0.0014985014985014987
100	6h	24_loss_to_CHH_loss	10	27950	15521	14266.799	1.0879104696155038	0.000999000999000999	68.62563717064546	0.0014985014985014987
100	6h	24_gain_to_CHH_gain	10	27949	12700	12272.41	1.034841567385705	0.000999000999000999	67.20515182954676	0.0014985014985014987
100	12h	CHH_loss_to_24_loss	1	2795	899	681.024	1.3200709519781975	0.000999000999000999	20.93780828586927	0.0014985014985014987
100	12h	CHH_gain_to_24_gain	1	2795	1965	1702.878	1.1539288193282198	0.000999000999000999	22.132667506899637	0.0014985014985014987
100	12h	24_loss_to_CHH_loss	1	2795	1572	1540.698	1.0203167655179666	0.10789210789210789	24.291539162327176	0.13628476786371524
100	12h	24_gain_to_CHH_gain	1	2795	1185	1291.738	0.9173686924128577	1.0	24.32342461465871	1.0
100	12h	CHH_loss_to_24_loss	5	13974	4320	3827.489	1.1286773129850929	0.000999000999000999	43.523052916071215	0.0014985014985014987
100	12h	CHH_gain_to_24_gain	5	13974	9679	8699.879	1.1125442089481934	0.000999000999000999	50.680616451301034	0.0014985014985014987
100	12h	24_loss_to_CHH_loss	5	13983	8045	7558.385	1.0643808168014728	0.000999000999000999	50.70962671171265	0.0014985014985014987
100	12h	24_gain_to_CHH_gain	5	13974	6006	6040.332	0.9943162064601746	0.7662337662337663	46.91309640830175	0.9044070683414945
100	12h	CHH_loss_to_24_loss	10	27947	8845	8034.746	1.1008437603379124	0.000999000999000999	59.512614085042806	0.0014985014985014987
100	12h	CHH_gain_to_24_gain	10	27947	19020	17555.717	1.0834077582818178	0.000999000999000999	67.1300182507822	0.0014985014985014987
100	12h	24_loss_to_CHH_loss	10	27947	16130	14788.088	1.0907427653933355	0.000999000999000999	66.42489384652808	0.0014985014985014987
100	12h	24_gain_to_CHH_gain	10	27947	12056	11597.309	1.0395515028529463	0.000999000999000999	68.31475993828438	0.0014985014985014987
100	24h	CHH_loss_to_24_loss	1	2795	880	703.009	1.2517620684799198	0.000999000999000999	20.47193246909092	0.0014985014985014987
100	24h	CHH_gain_to_24_gain	1	2795	1884	1738.048	1.0839746658320137	0.000999000999000999	21.214139995195087	0.0014985014985014987
100	24h	24_loss_to_CHH_loss	1	2795	1553	1508.698	1.029364392343597	0.04095904095904096	24.425302278403667	0.05361910816456271
100	24h	24_gain_to_CHH_gain	1	2795	1182	1314.159	0.8994345433086863	1.0	24.19005741782929	1.0
100	24h	CHH_loss_to_24_loss	5	13971	4347	3922.246	1.1082935644526122	0.000999000999000999	45.333084745829645	0.0014985014985014987
100	24h	CHH_gain_to_24_gain	5	13971	9604	8840.834	1.0863228514413912	0.000999000999000999	48.81008982647818	0.0014985014985014987
100	24h	24_loss_to_CHH_loss	5	13985	7806	7403.763	1.054328724460791	0.000999000999000999	52.03930168555224	0.0014985014985014987
100	24h	24_gain_to_CHH_gain	5	13974	6130	6203.534	0.9881464339520023	0.942057942057942	47.43506012359348	1.0
100	24h	CHH_loss_to_24_loss	10	27942	8919	8182.566	1.0900003739658195	0.000999000999000999	59.94571822184744	0.0014985014985014987
100	24h	CHH_gain_to_24_gain	10	27942	19009	17767.654	1.0698654982813152	0.000999000999000999	67.05271322139284	0.0014985014985014987
100	24h	24_loss_to_CHH_loss	10	27942	15668	14465.951	1.0830950554166816	0.000999000999000999	66.93134096522647	0.0014985014985014987
100	24h	24_gain_to_CHH_gain	10	27942	12351	12012.446	1.0281836022405428	0.000999000999000999	65.12801810851259	0.0014985014985014987
