stress	tail_pct	context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
heat	1	CG	loss	GO:0006090	pyruvate metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.32	0.5723635208501674	9.375	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0006091	generation of precursor metabolites and energy	7	AT1G29930;AT1G61520;AT2G36530;AT3G12780;AT3G47470;AT3G52930;AT4G10340	1.48	1.212270596855339	4.72972972972973	0.0049751243781094	0	33	200	0.0445771144278607
heat	1	CG	loss	GO:0006096	glycolytic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0006195	purine nucleotide catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009132	nucleoside diphosphate metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.295	0.5458708638496838	10.16949152542373	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009134	nucleoside diphosphate catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009135	purine nucleoside diphosphate metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.29	0.5439669107583659	10.344827586206897	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009137	purine nucleoside diphosphate catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009154	purine ribonucleotide catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009166	nucleotide catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.265	0.5145629213225531	11.320754716981131	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009179	purine ribonucleoside diphosphate metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.29	0.5439669107583659	10.344827586206897	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009181	purine ribonucleoside diphosphate catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009185	ribonucleoside diphosphate metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.29	0.5439669107583659	10.344827586206897	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009191	ribonucleoside diphosphate catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009261	ribonucleotide catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0009765	photosynthesis, light harvesting	4	AT1G29930;AT1G61520;AT3G47470;AT4G10340	0.145	0.3794403773980835	27.58620689655173	0.0049751243781094	0	33	200	0.0445771144278607
heat	1	CG	loss	GO:0015979	photosynthesis	7	AT1G29930;AT1G61520;AT1G67090;AT1G74470;AT3G12780;AT3G47470;AT4G10340	0.775	0.8452070752188483	9.032258064516128	0.0049751243781094	0	33	200	0.0445771144278607
heat	1	CG	loss	GO:0019364	pyridine nucleotide catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0019684	photosynthesis, light reaction	4	AT1G29930;AT1G61520;AT3G47470;AT4G10340	0.425	0.6279928343540235	9.411764705882351	0.0049751243781094	0	33	200	0.0445771144278607
heat	1	CG	loss	GO:0046031	ADP metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0046032	ADP catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.255	0.5098774362530666	11.76470588235294	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0046034	ATP metabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.38	0.5878775382679627	7.894736842105263	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0072523	purine-containing compound catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.325	0.5825590098865522	9.23076923076923	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:0072526	pyridine-containing compound catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.265	0.5241898511035863	11.320754716981131	0.0099502487562189	1	33	200	0.0445771144278607
heat	1	CG	loss	GO:1901292	nucleoside phosphate catabolic process	3	AT2G36530;AT3G12780;AT3G52930	0.265	0.5145629213225531	11.320754716981131	0.0099502487562189	1	33	200	0.0445771144278607
