context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0008152	metabolic process	5	AT1G61820;AT1G67980;AT3G27980;AT3G29110;AT5G64140	8.88	2.2793858822059914	0.563063063063063	0.9751243781094527	195	10	200	1.0
CG	gain	GO:0009058	biosynthetic process	4	AT1G61820;AT1G67980;AT3G29110;AT5G64140	4.41	1.8308194886443614	0.9070294784580498	0.6766169154228856	135	10	200	1.0
CG	gain	GO:0009987	cellular process	6	AT1G49005;AT1G61820;AT1G67980;AT3G27980;AT3G29110;AT5G64140	14.645	1.9388076232571454	0.4096961420279959	1.0	200	10	200	1.0
CG	gain	GO:0044238	primary metabolic process	4	AT1G61820;AT3G27980;AT3G29110;AT5G64140	7.605	2.2558756614671807	0.5259697567389875	0.9800995024875622	196	10	200	1.0
CG	loss	GO:0008152	metabolic process	4	AT2G02000;AT3G10900;AT4G29740;AT5G39770	9.145	2.2877882332069115	0.43739748496446146	0.9950248756218906	199	11	200	1.0
CG	loss	GO:0009056	catabolic process	3	AT3G10900;AT4G29740;AT5G39770	1.55	1.143459662602927	1.9354838709677418	0.19402985074626866	38	11	200	0.7761194029850746
CG	loss	GO:0009987	cellular process	6	AT1G65550;AT2G02000;AT3G10900;AT3G26870;AT4G29740;AT5G39770	14.79	1.9041796133768552	0.40567951318458423	1.0	200	11	200	1.0
CG	loss	GO:0044238	primary metabolic process	3	AT2G02000;AT3G10900;AT5G39770	7.93	2.19661102610362	0.37831021437578816	1.0	200	11	200	1.0
CHG	loss	GO:0001558	regulation of cell growth	3	AT1G28270;AT1G31140;AT1G77980	0.31	0.542125446737192	9.67741935483871	0.009950248756218905	1	10	200	0.08955223880597014
CHG	loss	GO:0009987	cellular process	4	AT1G28270;AT2G01990;AT2G42725;AT3G10340	20.68	2.2776303475322837	0.19342359767891684	1.0	200	10	200	1.0
CHG	loss	GO:0040008	regulation of growth	3	AT1G28270;AT1G31140;AT1G77980	0.625	0.7901740314639554	4.8	0.03482587064676617	6	10	200	0.10447761194029852
CHG	loss	GO:0050789	regulation of biological process	3	AT1G28270;AT1G31140;AT1G77980	8.61	2.5976720347264783	0.34843205574912894	1.0	200	10	200	1.0
CHG	loss	GO:0050793	regulation of developmental process	3	AT1G28270;AT1G31140;AT1G77980	1.835	1.3775975464554224	1.6348773841961852	0.3034825870646766	60	10	200	0.6828358208955224
CHG	loss	GO:0050794	regulation of cellular process	3	AT1G28270;AT1G31140;AT1G77980	7.8	2.3874672772626666	0.38461538461538464	1.0	200	10	200	1.0
CHG	loss	GO:0050896	response to stimulus	3	AT1G28270;AT3G10340;AT3G57480	9.57	2.575868785478017	0.3134796238244514	1.0	200	10	200	1.0
CHG	loss	GO:0051128	regulation of cellular component organization	3	AT1G28270;AT1G31140;AT1G77980	0.595	0.7006960824779884	5.042016806722689	0.01990049751243781	3	10	200	0.08955223880597014
CHG	loss	GO:0065007	biological regulation	3	AT1G28270;AT1G31140;AT1G77980	8.965	2.6709127653294855	0.33463469046291133	1.0	200	10	200	1.0
CHH	gain	GO:0006950	response to stress	4	AT1G64790;AT5G08315;AT5G20320;AT5G37500	9.78	2.9481519635188453	0.40899795501022496	0.9850746268656716	197	15	200	1.0
CHH	gain	GO:0006952	defense response	3	AT1G64790;AT5G08315;AT5G20320	3.07	1.7874842656650156	0.977198697068404	0.6268656716417911	125	15	200	1.0
CHH	gain	GO:0007275	multicellular organism development	4	AT1G14580;AT2G38220;AT5G20320;AT5G53660	8.535	2.7962072526906874	0.46865846514352666	0.9751243781094527	195	15	200	1.0
CHH	gain	GO:0008152	metabolic process	5	AT2G21100;AT2G38220;AT4G23560;AT5G20320;AT5G53660	21.235	3.6864312010398392	0.2354603249352484	1.0	200	15	200	1.0
CHH	gain	GO:0009058	biosynthetic process	3	AT2G21100;AT5G20320;AT5G53660	10.315	2.957325649974992	0.290838584585555	1.0	200	15	200	1.0
CHH	gain	GO:0009605	response to external stimulus	3	AT1G64790;AT5G08315;AT5G20320	4.305	2.154524309447448	0.6968641114982579	0.7860696517412935	157	15	200	1.0
CHH	gain	GO:0009607	response to biotic stimulus	3	AT1G64790;AT5G08315;AT5G20320	3.675	1.936330292073127	0.8163265306122449	0.7014925373134329	140	15	200	1.0
CHH	gain	GO:0009889	regulation of biosynthetic process	3	AT1G14580;AT5G20320;AT5G53660	7.895	2.6596945313324993	0.3799873337555415	0.9900497512437811	198	15	200	1.0
CHH	gain	GO:0009987	cellular process	7	AT1G14580;AT2G21100;AT2G38220;AT4G23560;AT5G20320;AT5G37500;AT5G53660	35.29	3.0109633010051877	0.19835647492207426	1.0	200	15	200	1.0
CHH	gain	GO:0010468	regulation of gene expression	3	AT1G14580;AT5G20320;AT5G53660	7.295	2.4490763565066738	0.41124057573680606	0.9800995024875622	196	15	200	1.0
CHH	gain	GO:0010556	regulation of macromolecule biosynthetic process	3	AT1G14580;AT5G20320;AT5G53660	7.48	2.531718783751464	0.40106951871657753	0.9800995024875622	196	15	200	1.0
CHH	gain	GO:0019222	regulation of metabolic process	3	AT1G14580;AT5G20320;AT5G53660	9.0	2.764054992217051	0.3333333333333333	1.0	200	15	200	1.0
CHH	gain	GO:0032501	multicellular organismal process	4	AT1G14580;AT2G38220;AT5G20320;AT5G53660	9.5	2.9223278392404928	0.42105263157894735	0.9900497512437811	198	15	200	1.0
CHH	gain	GO:0032502	developmental process	4	AT1G14580;AT2G38220;AT5G20320;AT5G53660	10.105	2.9587117128912683	0.3958436417615042	0.9900497512437811	198	15	200	1.0
CHH	gain	GO:0043170	macromolecule metabolic process	3	AT2G38220;AT5G20320;AT5G53660	13.03	3.3836518733463135	0.23023791250959325	1.0	200	15	200	1.0
CHH	gain	GO:0043207	response to external biotic stimulus	3	AT1G64790;AT5G08315;AT5G20320	3.665	1.9242595978713477	0.8185538881309686	0.7014925373134329	140	15	200	1.0
CHH	gain	GO:0044238	primary metabolic process	4	AT2G38220;AT4G23560;AT5G20320;AT5G53660	18.36	3.510042734782593	0.2178649237472767	1.0	200	15	200	1.0
CHH	gain	GO:0044419	biological process involved in interspecies interaction between organisms	3	AT1G64790;AT5G08315;AT5G20320	3.72	1.9472031224297062	0.8064516129032258	0.7064676616915423	141	15	200	1.0
CHH	gain	GO:0048731	system development	3	AT1G14580;AT5G20320;AT5G53660	6.585	2.379658588957667	0.45558086560364464	0.9601990049751243	192	15	200	1.0
