context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0000041	transition metal ion transport	3	AT1G74770;AT2G07681;AT4G13590	8.275	2.740323885966765	0.36253776435045315	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0000105	L-histidine biosynthetic process	3	AT1G58080;AT1G71920;AT4G39120	1.195	1.0568703799425925	2.510460251046025	0.12935323383084577	25	693	200	1.0
CG	gain	GO:0000160	phosphorelay signal transduction system	5	AT1G66340;AT2G25180;AT2G46790;AT3G23150;AT5G10720	10.965	3.0139301584476046	0.45599635202918376	0.9850746268656716	197	693	200	1.0
CG	gain	GO:0000226	microtubule cytoskeleton organization	3	AT1G54960;AT3G05750;AT5G16730	16.55	3.574562910343022	0.18126888217522658	1.0	200	693	200	1.0
CG	gain	GO:0000271	polysaccharide biosynthetic process	13	AT1G06490;AT1G32180;AT1G51630;AT2G21590;AT2G44610;AT3G01180;AT3G59100;AT4G02130;AT4G16120;AT4G18780;AT4G33330;AT5G05170;AT5G65685	27.97	4.765406593355916	0.46478369681801934	1.0	200	693	200	1.0
CG	gain	GO:0000272	polysaccharide catabolic process	8	AT1G11590;AT1G68560;AT2G36710;AT3G10900;AT4G03930;AT5G01930;AT5G07420;AT5G18990	14.785	3.87024224048056	0.5410889414947582	0.9850746268656716	197	693	200	1.0
CG	gain	GO:0000278	mitotic cell cycle	6	AT2G38185;AT2G38220;AT3G05750;AT3G12280;AT5G05170;AT5G49160	14.36	3.474248120097355	0.4178272980501393	1.0	200	693	200	1.0
CG	gain	GO:0000280	nuclear division	6	AT1G50240;AT1G53490;AT2G01990;AT3G12280;AT3G48190;AT5G39770	17.88	3.536325776848057	0.33557046979865773	1.0	200	693	200	1.0
CG	gain	GO:0000302	response to reactive oxygen species	6	AT1G22770;AT1G66950;AT3G17790;AT3G17800;AT3G29035;AT5G10720	14.075	3.4393858463394342	0.4262877442273535	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0000375	RNA splicing, via transesterification reactions	3	AT1G44910;AT3G16010;AT5G64200	15.375	3.5460365198345043	0.1951219512195122	1.0	200	693	200	1.0
CG	gain	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3	AT1G44910;AT3G16010;AT5G64200	15.375	3.5460365198345043	0.1951219512195122	1.0	200	693	200	1.0
CG	gain	GO:0000723	telomere maintenance	3	AT1G79950;AT3G48190;AT5G40820	3.415	1.5371320697975177	0.8784773060029283	0.7313432835820896	146	693	200	1.0
CG	gain	GO:0000724	double-strand break repair via homologous recombination	4	AT2G19480;AT3G48190;AT5G01630;AT5G39770	7.525	2.1678041885742347	0.5315614617940199	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0000725	recombinational repair	5	AT1G79950;AT2G19480;AT3G48190;AT5G01630;AT5G39770	7.82	2.2288113423975564	0.639386189258312	0.9253731343283582	185	693	200	1.0
CG	gain	GO:0000902	cell morphogenesis	10	AT1G21210;AT1G54490;AT2G25630;AT3G02260;AT3G12280;AT3G56640;AT4G02650;AT4G19600;AT5G17020;AT5G49680	44.285	5.743150267927906	0.2258100937111889	1.0	200	693	200	1.0
CG	gain	GO:0000910	cytokinesis	6	AT1G50240;AT3G01780;AT3G05750;AT4G08630;AT5G05170;AT5G49160	13.295	3.253916870480867	0.45129748025573524	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0000911	cytokinesis by cell plate formation	4	AT1G50240;AT3G01780;AT3G05750;AT4G08630	10.14	2.922396277030203	0.3944773175542406	1.0	200	693	200	1.0
CG	gain	GO:0001101	response to acid chemical	14	AT1G44170;AT1G49230;AT2G04030;AT2G18960;AT2G24720;AT2G25180;AT3G13380;AT3G45140;AT3G46620;AT4G18780;AT4G27010;AT5G19000;AT5G26340;AT5G37500	46.54	6.568744172214354	0.30081650193382037	1.0	200	693	200	1.0
CG	gain	GO:0001558	regulation of cell growth	7	AT1G28270;AT1G50030;AT2G44610;AT3G12280;AT4G39110;AT5G44585;AT5G54310	13.88	3.3385026583784536	0.5043227665706052	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0001666	response to hypoxia	8	AT1G17290;AT1G23310;AT2G01150;AT2G26560;AT2G34390;AT3G23150;AT4G34131;AT5G25250	18.465	3.6984827970398855	0.4332520985648524	1.0	200	693	200	1.0
CG	gain	GO:0002237	response to molecule of bacterial origin	4	AT1G66340;AT1G66730;AT5G10720;AT5G42950	6.57	2.484974848967289	0.60882800608828	0.9054726368159204	181	693	200	1.0
CG	gain	GO:0002376	immune system process	8	AT1G64790;AT2G26560;AT3G45430;AT3G49500;AT4G36280;AT5G03320;AT5G35450;AT5G43560	24.035	4.073545752780977	0.3328479301019347	1.0	200	693	200	1.0
CG	gain	GO:0002682	regulation of immune system process	5	AT3G23780;AT3G45430;AT5G03320;AT5G51450;AT5G60120	14.34	3.2656392942270935	0.3486750348675035	1.0	200	693	200	1.0
CG	gain	GO:0002684	positive regulation of immune system process	3	AT3G45430;AT5G03320;AT5G51450	8.59	2.5498823502271644	0.3492433061699651	1.0	200	693	200	1.0
CG	gain	GO:0002831	regulation of response to biotic stimulus	11	AT1G50030;AT2G28290;AT3G45430;AT3G59700;AT4G36280;AT5G03320;AT5G22330;AT5G44585;AT5G51450;AT5G53060;AT5G60120	23.715	4.119924149787232	0.4638414505587181	1.0	200	693	200	1.0
CG	gain	GO:0002832	negative regulation of response to biotic stimulus	3	AT1G50030;AT3G59700;AT5G60120	6.07	1.911831582540679	0.4942339373970346	0.9751243781094527	195	693	200	1.0
CG	gain	GO:0002833	positive regulation of response to biotic stimulus	4	AT3G45430;AT4G36280;AT5G03320;AT5G51450	12.68	3.1792451934382147	0.31545741324921134	1.0	200	693	200	1.0
CG	gain	GO:0003002	regionalization	8	AT1G19850;AT1G23420;AT1G27340;AT2G06990;AT3G05040;AT3G22760;AT4G17220;AT5G24740	20.785	4.1083786339625465	0.38489295164782295	1.0	200	693	200	1.0
