gene	symbol	strand	window_type	resolution_bp	chr	start	end	context	CTRL_methylation	HEAT6_methylation	HEAT12_methylation	HEAT24_methylation	deltaMeth_6h	deltaMeth_12h	deltaMeth_24h	n_100bp_sRNA_bins	CTRL_24nt_CPM_sum	HEAT_24nt_CPM_sum	delta24_CPM_sum
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CG	0.5850472940866563	0.6456355721777426	0.6554992272197936	0.6654892673105343	0.0605882780910862	0.0704519331331372	0.0804419732238779	5	5.7119169132	6.6240954838	0.9121785706000001
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CHG	0.5950027415778262	0.6851103540361093	0.651719138151427	0.6898052047452108	0.0901076124582831	0.0567163965736008	0.0948024631673846	5	5.7119169132	6.6240954838	0.9121785706000001
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CHH	0.5758085989604026	0.6569361074793455	0.6409989738294835	0.6870805898879562	0.0811275085189429	0.0651903748690808	0.1112719909275535	5	5.7119169132	6.6240954838	0.9121785706000001
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CG	0.6345069905473718	0.4939147247096055	0.4955897027125162	0.571615624603072	-0.1405922658377662	-0.1389172878348556	-0.0628913659442997	5	5.272166219400001	4.6915070789	-0.5806591405000008
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CHG	0.6937769625350221	0.5824650787439252	0.5876266945384949	0.603563887401387	-0.1113118837910969	-0.1061502679965271	-0.090213075133635	5	5.272166219400001	4.6915070789	-0.5806591405000008
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CHH	0.5433340296223079	0.4342169219601567	0.3935827045163602	0.4945041134260914	-0.1091171076621511	-0.1497513251059476	-0.0488299161962164	5	5.272166219400001	4.6915070789	-0.5806591405000008
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CG	0.6121660911839484	0.5095899470899471	0.427532679738562	0.3633965867048573	-0.1025761440940012	-0.1846334114453863	-0.248769504479091	5	3.0625475353000002	2.5309361367000003	-0.5316113986
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CHG	0.5452367644541124	0.4677348365747059	0.3521495665892217	0.3772335349562759	-0.0775019278794065	-0.1930871978648906	-0.1680032294978364	5	3.0625475353000002	2.5309361367000003	-0.5316113986
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CHH	0.5038249825988633	0.4324414194099161	0.3271146073490142	0.3124969993075908	-0.0713835631889471	-0.1767103752498491	-0.1913279832912724	5	3.0625475353000002	2.5309361367000003	-0.5316113986
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CG	0.3601986122731921	0.2698809856681829	0.2643899160167717	0.2222515088469036	-0.0903176266050092	-0.0958086962564204	-0.1379471034262885	5	5.351397824999999	3.2548257796	-2.0965720453999994
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CHG	0.4048988165973459	0.299097848831595	0.287273440883735	0.2639776188723557	-0.1058009677657509	-0.1176253757136109	-0.1409211977249901	5	5.351397824999999	3.2548257796	-2.0965720453999994
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CHH	0.263119132641355	0.2180142731306391	0.186619386659079	0.1832918364089871	-0.0451048595107159	-0.0764997459822759	-0.0798272962323679	5	5.351397824999999	3.2548257796	-2.0965720453999994
AT1G74470		+	loss	500	1	27991500	27992000	CG	0.3722023809523809	0.3805070876806616	0.1936050399465033	0.3023636539455398	0.0083047067282807	-0.1785973410058775	-0.069838727006841	5	1.0533730713	0.4746693443000001	-0.578703727
AT1G74470		+	loss	500	1	27991500	27992000	CHG	0.3012779257779258	0.3345297637865039	0.1883732620426168	0.2781991746679246	0.0332518380085781	-0.112904663735309	-0.0230787511100011	5	1.0533730713	0.4746693443000001	-0.578703727
AT1G74470		+	loss	500	1	27991500	27992000	CHH	0.1998562322742851	0.2045916872880775	0.1428730099955932	0.1719717917615575	0.0047354550137924	-0.0569832222786918	-0.0278844405127275	5	1.0533730713	0.4746693443000001	-0.578703727
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CG	0.3980555555555555	0.3265266719812174	0.1571284271284271	0.2126075570520015	-0.0715288835743381	-0.2409271284271284	-0.185447998503554	1	0.522753483	0.0	-0.522753483
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CHG	0.4547619047619048	0.3932983682983682	0.1161375661375661	0.2580246913580246	-0.0614635364635366	-0.3386243386243387	-0.1967372134038802	1	0.522753483	0.0	-0.522753483
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CHH	0.2523355416873935	0.2653610484166039	0.1264951098284431	0.1301421792493221	0.0130255067292104	-0.1258404318589503	-0.1221933624380714	1	0.522753483	0.0	-0.522753483
