gene	symbol	strand	window_type	resolution_bp	chr	start	end	context	delta_6h	delta_12h	delta_24h	CTRL_24nt_CPM	HEAT_24nt_CPM	delta24_CPM
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CG	0.0605882780910862	0.0704519331331372	0.0804419732238779			
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CHG	0.0901076124582831	0.0567163965736008	0.0948024631673846			
AT1G29930	CAB1/LHCB1.3	+	gain	500	1	10478000	10478500	CHH	0.0811275085189429	0.0651903748690808	0.1112719909275535			
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CG	-0.1405922658377662	-0.1389172878348556	-0.0628913659442997			
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CHG	-0.1113118837910969	-0.1061502679965271	-0.090213075133635			
AT1G29930	CAB1/LHCB1.3	+	loss	500	1	10478500	10479000	CHH	-0.1091171076621511	-0.1497513251059476	-0.0488299161962164			
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CG	-0.1025761440940012	-0.1846334114453863	-0.248769504479091			
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CHG	-0.0775019278794065	-0.1930871978648906	-0.1680032294978364			
AT1G61520	LHCA3	+	loss	500	1	22700500	22701000	CHH	-0.0713835631889471	-0.1767103752498491	-0.1913279832912724			
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CG	-0.0903176266050092	-0.0958086962564204	-0.1379471034262885			
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CHG	-0.1058009677657509	-0.1176253757136109	-0.1409211977249901			
AT1G67090	RBCS1A	-	loss	500	1	25048500	25049000	CHH	-0.0451048595107159	-0.0764997459822759	-0.0798272962323679			
AT1G74470		+	loss	500	1	27991500	27992000	CG	0.0083047067282807	-0.1785973410058775	-0.069838727006841			
AT1G74470		+	loss	500	1	27991500	27992000	CHG	0.0332518380085781	-0.112904663735309	-0.0230787511100011			
AT1G74470		+	loss	500	1	27991500	27992000	CHH	0.0047354550137924	-0.0569832222786918	-0.0278844405127275			
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CG	-0.0715288835743381	-0.2409271284271284	-0.185447998503554	0.522753483	0.0	-0.522753483
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CHG	-0.0614635364635366	-0.3386243386243387	-0.1967372134038802	0.522753483	0.0	-0.522753483
AT1G74470		+	exact_100bp_core	100	1	27991600	27991700	CHH	0.0130255067292104	-0.1258404318589503	-0.1221933624380714	0.522753483	0.0	-0.522753483
