chr	start	end	CTRL1	CTRL2	CTRL3	HEAT1	HEAT2	HEAT3	CTRLmean	HEATmean	delta24_CPM
1	22699400	22699500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22699500	22699600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22699600	22699700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22699700	22699800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22699800	22699900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22699900	22700000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22700000	22700100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22700100	22700200	1.3658794975	0.499155167	0.0	0.5028767395	0.3001731223	0.3767528568	0.6216782215	0.3932675729	-0.2284106486
1	22700200	22700300	0.8195276985	0.0	0.0	0.5028767395	0.1500865611	0.0	0.2731758995	0.2176544336	-0.0555214659
1	22700300	22700400	0.0	0.2495775835	0.0	0.0	0.0	0.0	0.0831925278	0.0	-0.0831925278
1	22700400	22700500	0.0	0.499155167	0.0	0.0	0.0	0.0	0.1663850557	0.0	-0.1663850557
1	22700500	22700600	0.0	0.0	1.2514036855	0.0	0.3001731223	0.3767528568	0.4171345618	0.225641993	-0.1914925688
1	22700600	22700700	0.546351799	0.998310334	0.4171345618	1.6762557984	0.1500865611	0.7535057136	0.6539322316	0.8599493577	0.2060171261
1	22700700	22700800	0.0	0.0	0.8342691237	0.0	0.1500865611	0.3767528568	0.2780897079	0.1756131393	-0.1024765686
1	22700800	22700900	0.2731758995	0.499155167	0.8342691237	2.0115069581	0.1500865611	0.3767528568	0.5355333967	0.8461154587	0.3105820619
1	22700900	22701000	1.3658794975	0.499155167	1.6685382474	0.6705023194	0.6003462446	0.0	1.1778576373	0.423616188	-0.7542414493
1	22701000	22701100	2.1854071959	0.7487327505	0.4171345618	1.3410046387	2.1012118559	2.2605171408	1.1170915028	1.9009112118	0.783819709
1	22701100	22701200	1.3658794975	1.2478879175	0.0	0.0	0.3001731223	0.0	0.871255805	0.1000577074	-0.7711980976
1	22701200	22701300	0.2731758995	0.2495775835	0.0	0.8381278992	0.3001731223	0.3767528568	0.174251161	0.5050179594	0.3307667984
1	22701300	22701400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22701400	22701500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	22701500	22701600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
