locus	stress	time	resolution	chr	start	end	control24	stress24	delta24	controlCHH	stressCHH	deltaCHH	mid
HSP101_heat_gain	heat	6h	100	1	27933900	27934000	0.0	0.0	0.0	0.0166666666666666	0.0208333333333332	0.0041666666666666	27933950.0
HSP101_heat_gain	heat	6h	100	1	27934000	27934100	0.0455293166	0.0	-0.0455293166	0.0241013071895424	0.0465686274509802	0.0224673202614378	27934050.0
HSP101_heat_gain	heat	6h	100	1	27934100	27934200	0.0	0.0	0.0	0.0493375728669846	0.010195679550518297	-0.0391418933164663	27934150.0
HSP101_heat_gain	heat	6h	100	1	27934200	27934300	0.0	0.0	0.0	0.0396825396825396	0.0502396514161219	0.0105571117335823	27934250.0
HSP101_heat_gain	heat	6h	100	1	27934300	27934400	0.0	0.0	0.0	0.0147041062801932	0.0060185185185184994	-0.0086855877616747	27934350.0
HSP101_heat_gain	heat	6h	100	1	27934400	27934500	0.0	0.0	0.0	0.0393537713059403	0.006912442396313299	-0.032441328909627	27934450.0
HSP101_heat_gain	heat	6h	100	1	27934500	27934600	0.0	0.0	0.0	0.0721455627705627	0.0382495590828924	-0.0338960036876703	27934550.0
HSP101_heat_gain	heat	6h	100	1	27934600	27934700	0.0	0.0	0.0	0.0217391304347826	0.0592362548884287	0.0374971244536461	27934650.0
HSP101_heat_gain	heat	6h	100	1	27934700	27934800	0.0	0.0	0.0	0.0285273368606701	0.0327388359091256	0.0042114990484555	27934750.0
HSP101_heat_gain	heat	6h	100	1	27934800	27934900	0.0	0.0	0.0	0.0339569160997732	0.0190527726242012	-0.014904143475572	27934850.0
HSP101_heat_gain	heat	6h	100	1	27934900	27935000	0.0	0.0	0.0	0.0170273440010281	0.031065759637188002	0.0140384156361599	27934950.0
HSP101_heat_gain	heat	6h	100	1	27935000	27935100	0.0	0.0	0.0	0.0714038231780166	0.035931882531041605	-0.035471940646975	27935050.0
HSP101_heat_gain	heat	6h	100	1	27935100	27935200	0.0	0.0	0.0	0.0467592592592592	0.0443113213946547	-0.0024479378646045	27935150.0
HSP101_heat_gain	heat	6h	100	1	27935200	27935300	0.0	0.0	0.0	0.0486834388927984	0.0334536791433342	-0.0152297597494642	27935250.0
HSP101_heat_gain	heat	6h	100	1	27935300	27935400	0.0	0.0	0.0	0.0654679232804232	0.0156759259259259	-0.0497919973544973	27935350.0
HSP101_heat_gain	heat	6h	100	1	27935400	27935500	0.0	0.0	0.0	0.0897435897435897	0.0560044218898385	-0.0337391678537512	27935450.0
HSP101_heat_gain	heat	6h	100	1	27935500	27935600	0.0	0.0	0.0	0.05718954248366	0.037104377104377	-0.020085165379283	27935550.0
HSP101_heat_gain	heat	6h	100	1	27935600	27935700	0.0	0.0	0.0	0.1296066252587991	0.042693236714975796	-0.0869133885438233	27935650.0
HSP101_heat_gain	heat	6h	100	1	27935700	27935800	0.0	0.0	0.0	0.0216269841269841	0.1273254523254523	0.1056984681984682	27935750.0
HSP101_heat_gain	heat	6h	100	1	27935800	27935900	0.0	0.0	0.0	0.0543154761904761	0.0537037037037036	-0.0006117724867725	27935850.0
HSP101_heat_gain	heat	6h	100	1	27935900	27936000	0.0	0.0	0.0	0.0250723610372732	0.1882616487455196	0.1631892877082464	27935950.0
HSP101_heat_gain	heat	6h	100	1	27936000	27936100	0.0	0.0	0.0	0.0294871794871794	0.061277842527842394	0.031790663040663	27936050.0
HSP101_heat_gain	heat	6h	100	1	27936100	27936200	0.0	0.0	0.0	0.0128205128205128	0.1319885361552027	0.1191680233346899	27936150.0
HSP101_heat_gain	heat	6h	100	1	27936200	27936300	0.0	0.0	0.0	0.0013717421124828	0.07449494949494939	0.0731232073824666	27936250.0
HSP101_heat_gain	heat	6h	100	1	27936300	27936400	0.0	0.0	0.0	0.05210277214334	0.022414622414622398	-0.0296881497287176	27936350.0
HSP101_heat_gain	heat	6h	100	1	27936400	27936500	0.0	0.0500288537	0.0500288537	0.0423768939393939	0.005050505050505104	-0.0373263888888888	27936450.0
HSP101_heat_gain	heat	6h	100	1	27936500	27936600	0.0	0.0	0.0	0.027662037037037	0.0193838183421517	-0.0082782186948853	27936550.0
HSP101_heat_gain	heat	6h	100	1	27936600	27936700	0.0	0.4768105642	0.4768105642	0.0067451131687242	0.0267857142857141	0.0200406011169899	27936650.0
HSP101_heat_gain	heat	6h	100	1	27936700	27936800	0.1390448539	0.8025102646	0.6634654107	0.0248179803735358	0.19301075268817192	0.1681927723146361	27936750.0
HSP101_heat_gain	heat	6h	100	1	27936800	27936900	0.0	0.6189095659	0.6189095659	0.0603014916186958	0.1904385158242099	0.1301370242055141	27936850.0
HSP101_heat_gain	heat	6h	100	1	27936900	27937000	0.1390448539	0.9536211284	0.8145762745	0.0714474414474414	0.06693034634211101	-0.0045170951053304	27936950.0
HSP101_heat_gain	heat	6h	100	1	27937000	27937100	0.0	0.0558751933	0.0558751933	0.0326719576719576	0.2556076388888888	0.2229356812169312	27937050.0
HSP101_heat_gain	heat	6h	100	1	27937100	27937200	0.0	0.2873635259	0.2873635259	0.0525132275132274	0.0	-0.0525132275132274	27937150.0
HSP101_heat_gain	heat	6h	100	1	27937200	27937300	0.0	0.5885609508	0.5885609508	0.0429329929329928	0.019809203142536397	-0.0231237897904564	27937250.0
HSP101_heat_gain	heat	6h	100	1	27937300	27937400	0.0	0.3767528568	0.3767528568	0.0394631410256409	0.026867979090201298	-0.0125951619354396	27937350.0
HSP101_heat_gain	heat	6h	100	1	27937400	27937500	0.0	0.225641993	0.225641993	0.0118298368298368	0.10993265993265991	0.0981028231028231	27937450.0
HSP101_heat_gain	heat	6h	100	1	27937500	27937600	0.0	1.0350228999	1.0350228999	0.0333333333333333	0.0690789473684209	0.0357456140350876	27937550.0
HSP101_heat_gain	heat	6h	100	1	27937600	27937700	0.0	0.0	0.0	0.0059829059829059	0.013501455809148001	0.0075185498262421	27937650.0
HSP101_heat_gain	heat	6h	100	1	27937700	27937800	0.0	0.4267817105	0.4267817105	0.0498490192934637	0.0959595959595959	0.0461105766661322	27937750.0
HSP101_heat_gain	heat	6h	100	1	27937800	27937900	0.0	0.9376460095	0.9376460095	0.0310940016103059	0.0982249530636627	0.0671309514533568	27937850.0
HSP101_heat_gain	heat	6h	100	1	27937900	27938000	0.0	2.2100035815	2.2100035815	0.1240278496733523	0.2703362573099415	0.1463084076365892	27937950.0
HSP101_heat_gain	heat	6h	100	1	27938000	27938100	0.0	0.5805733913	0.5805733913	0.0891857168172956	0.048428731762065004	-0.0407569850552306	27938050.0
HSP101_heat_gain	heat	6h	100	1	27938100	27938200	0.0	0.3011974249	0.3011974249	0.1316534391534391	0.13976190476190462	0.0081084656084655	27938150.0
HSP101_heat_gain	heat	6h	100	1	27938200	27938300	0.0	0.3570726182	0.3570726182	0.0743089626422959	0.0399172652168294	-0.0343916974254665	27938250.0
HSP101_heat_gain	heat	6h	100	1	27938300	27938400	0.0	0.225641993	0.225641993	0.0629563492063491	0.0244319950202303	-0.0385243541861188	27938350.0
HSP101_heat_gain	heat	6h	100	1	27938400	27938500	0.0	0.1814594789	0.1814594789	0.0508304195804195	0.0572813297813297	0.0064509102009102	27938450.0
HSP101_heat_gain	heat	6h	100	1	27938500	27938600	0.0	0.5268394179	0.5268394179	0.0042087542087542	0.0409137159137158	0.0367049617049616	27938550.0
HSP101_heat_gain	heat	6h	100	1	27938600	27938700	0.0	0.3512262786	0.3512262786	0.0495169082125603	0.030510822510822502	-0.0190060857017378	27938650.0
HSP101_heat_gain	heat	6h	100	1	27938700	27938800	0.0	1.3143988663	1.3143988663	0.0318518518518518	0.022165694387916598	-0.0096861574639352	27938750.0
HSP101_heat_gain	heat	6h	100	1	27938800	27938900	0.0	0.0	0.0	0.038167735042735	0.0740351208403946	0.0358673857976596	27938850.0
HSP101_heat_gain	heat	6h	100	1	27938900	27939000	0.0	0.3629189578	0.3629189578	0.0212701893622945	0.0663457123684395	0.045075523006145	27938950.0
HSP101_heat_gain	heat	6h	100	1	27939000	27939100	0.0	0.4326280501	0.4326280501	0.0736568986568986	0.043742957809454	-0.0299139408474446	27939050.0
HSP101_heat_gain	heat	6h	100	1	27939100	27939200	0.0	0.8780656966	0.8780656966	0.1333180766479084	0.2035141289370611	0.0701960522891527	27939150.0
HSP101_heat_gain	heat	6h	100	1	27939200	27939300	0.0	0.3767528568	0.3767528568	0.0819611458500346	0.1971868451084136	0.115225699258379	27939250.0
HSP101_heat_gain	heat	6h	100	1	27939300	27939400	0.0	0.9035922747	0.9035922747	0.0733142604110345	0.17544519266741482	0.1021309322563803	27939350.0
HSP101_heat_gain	heat	6h	100	1	27939400	27939500	0.0	0.627921428	0.627921428	0.3214158390628979	0.04716049382716048	-0.2742553452357374	27939450.0
HSP101_heat_gain	heat	6h	100	1	27939500	27939600	0.0	0.5326857575	0.5326857575	0.1393826754423242	0.10775132275132279	-0.0316313526910014	27939550.0
HSP101_heat_gain	heat	6h	100	1	27939600	27939700	0.0	0.1000577074	0.1000577074	0.2358146323663563	0.1766397849462366	-0.0591748474201197	27939650.0
HSP101_heat_gain	heat	6h	100	1	27939700	27939800	0.0	0.1250721343	0.1250721343	0.0553917050691243	0.1387096774193547	0.0833179723502304	27939750.0
HSP101_heat_gain	heat	6h	100	1	27939800	27939900	0.0	0.0500288537	0.0500288537	0.0353190948385455	0.0850292397660817	0.0497101449275362	27939850.0
HSP101_heat_gain	heat	6h	100	1	27939900	27940000	0.0	0.0558751933	0.0558751933	0.0257756132756132	0.021372007622007604	-0.0044036056536056	27939950.0
HSP101_heat_gain	heat	6h	100	1	27940000	27940100	0.0	0.853563421	0.853563421	0.0229186795491143	0.0622240896358543	0.03930541008674	27940050.0
HSP101_heat_gain	heat	6h	100	1	27940100	27940200	0.0	0.0	0.0	0.0429574895092135	0.0752098157270569	0.0322523262178434	27940150.0
HSP101_heat_gain	heat	6h	100	1	27940200	27940300	0.0	0.0	0.0	0.0186660561660561	0.0283648113480045	0.0096987551819484	27940250.0
HSP101_heat_gain	heat	6h	100	1	27940300	27940400	0.0	0.0	0.0	0.0179100529100529	0.0190613852378557	0.0011513323278028	27940350.0
HSP101_heat_gain	heat	6h	100	1	27940400	27940500	0.0	0.0	0.0	0.0195480445480445	0.03105645262508	0.0115084080770355	27940450.0
HSP101_heat_gain	heat	6h	100	1	27940500	27940600	0.0	0.0	0.0	0.0340094603252497	0.0273559773559773	-0.0066534829692724	27940550.0
HSP101_heat_gain	heat	6h	100	1	27940600	27940700	0.0	0.0	0.0	0.0300215357033538	0.023213528895347002	-0.0068080068080068	27940650.0
HSP101_heat_gain	heat	6h	100	1	27940700	27940800	0.0	0.0	0.0	0.0289882956549622	0.030757642563198	0.0017693469082358	27940750.0
HSP101_heat_gain	heat	6h	100	1	27940800	27940900	0.0	0.0	0.0	0.0269305385972051	0.0443106489083499	0.0173801103111448	27940850.0
HSP101_heat_gain	heat	6h	100	1	27940900	27941000	0.0	0.0	0.0	0.0316137566137566	0.0381357668394704	0.0065220102257138	27940950.0
HSP101_heat_gain	heat	6h	100	1	27941000	27941100	0.0	0.0	0.0	0.0307936507936507	0.0342279942279941	0.0034343434343434	27941050.0
HSP101_heat_gain	heat	6h	100	1	27941100	27941200	0.0	0.0	0.0	0.0513768115942028	0.0254015308363134	-0.0259752807578894	27941150.0
HSP101_heat_gain	heat	6h	100	1	27941200	27941300	0.0	0.0	0.0	0.0109448504282095	0.0042284827441078	-0.0067163676841017	27941250.0
HSP101_heat_gain	heat	6h	100	1	27941300	27941400	0.0	0.0	0.0	0.0356162900280547	0.029081893052481298	-0.0065343969755734	27941350.0
HSP101_heat_gain	heat	6h	100	1	27941400	27941500	0.0	0.0	0.0	0.0291486291486291	0.0523309323729491	0.02318230322432	27941450.0
HSP101_heat_gain	heat	6h	100	1	27941500	27941600	0.0	0.0558751933	0.0558751933	0.0326505332716512	0.0675638371290544	0.0349133038574032	27941550.0
HSP101_heat_gain	heat	6h	100	1	27941600	27941700	0.0	0.0	0.0	0.0473940670737008	0.020807453416149	-0.0265866136575518	27941650.0
HSP101_heat_gain	heat	6h	100	1	27941700	27941800	0.0	0.0	0.0	0.0333880678708264	0.031253420908593295	-0.0021346469622331	27941750.0
HSP101_heat_gain	heat	6h	100	1	27941800	27941900	0.0	0.0	0.0	0.0185757575757575	0.021529538837231	0.0029537812614735	27941850.0
HSP101_heat_gain	heat	6h	100	1	27941900	27942000	0.0	0.0558751933	0.0558751933	0.0097777777777777	0.019996520198566098	0.0102187424207884	27941950.0
HSP101_heat_gain	heat	6h	100	1	27942000	27942100	0.0	0.0500288537	0.0500288537	0.0190656565656564	0.0209391534391533	0.0018734968734969	27942050.0
HSP101_heat_gain	heat	6h	100	1	27942100	27942200	0.0	0.0	0.0	0.0304282562903252	0.028434592227695697	-0.0019936640626295	27942150.0
HSP101_heat_gain	heat	6h	100	1	27942200	27942300	0.0	0.0	0.0	0.031383712905452	0.0253466340422862	-0.0060370788631658	27942250.0
HSP101_heat_gain	heat	6h	100	1	27942300	27942400	0.0	0.0	0.0	0.0263888888888888	0.028049008604564	0.0016601197156752	27942350.0
HSP101_heat_gain	heat	12h	100	1	27933900	27934000	0.0	0.0	0.0	0.0166666666666666	0.0261243386243385	0.0094576719576719	27933950.0
HSP101_heat_gain	heat	12h	100	1	27934000	27934100	0.0455293166	0.0	-0.0455293166	0.0241013071895424	0.0516476034858387	0.0275462962962963	27934050.0
HSP101_heat_gain	heat	12h	100	1	27934100	27934200	0.0	0.0	0.0	0.0493375728669846	0.0546972997953389	0.0053597269283543	27934150.0
HSP101_heat_gain	heat	12h	100	1	27934200	27934300	0.0	0.0	0.0	0.0396825396825396	0.0168253968253967	-0.0228571428571429	27934250.0
HSP101_heat_gain	heat	12h	100	1	27934300	27934400	0.0	0.0	0.0	0.0147041062801932	0.030050505050505	0.0153463987703118	27934350.0
HSP101_heat_gain	heat	12h	100	1	27934400	27934500	0.0	0.0	0.0	0.0393537713059403	0.03840245775729639	-0.0009513135486439	27934450.0
HSP101_heat_gain	heat	12h	100	1	27934500	27934600	0.0	0.0	0.0	0.0721455627705627	0.027568843193843194	-0.0445767195767195	27934550.0
HSP101_heat_gain	heat	12h	100	1	27934600	27934700	0.0	0.0	0.0	0.0217391304347826	0.0	-0.0217391304347826	27934650.0
HSP101_heat_gain	heat	12h	100	1	27934700	27934800	0.0	0.0	0.0	0.0285273368606701	0.0241622574955908	-0.0043650793650793	27934750.0
HSP101_heat_gain	heat	12h	100	1	27934800	27934900	0.0	0.0	0.0	0.0339569160997732	0.0314909297052154	-0.0024659863945578	27934850.0
HSP101_heat_gain	heat	12h	100	1	27934900	27935000	0.0	0.0	0.0	0.0170273440010281	0.0323223733938018	0.0152950293927737	27934950.0
HSP101_heat_gain	heat	12h	100	1	27935000	27935100	0.0	0.0	0.0	0.0714038231780166	0.03716504522956131	-0.0342387779484553	27935050.0
HSP101_heat_gain	heat	12h	100	1	27935100	27935200	0.0	0.0	0.0	0.0467592592592592	0.0221998521630874	-0.0245594070961718	27935150.0
HSP101_heat_gain	heat	12h	100	1	27935200	27935300	0.0	0.0	0.0	0.0486834388927984	0.0253976547079995	-0.0232857841847989	27935250.0
HSP101_heat_gain	heat	12h	100	1	27935300	27935400	0.0	0.0	0.0	0.0654679232804232	0.018836805555555496	-0.0466311177248677	27935350.0
HSP101_heat_gain	heat	12h	100	1	27935400	27935500	0.0	0.0	0.0	0.0897435897435897	0.013868723532970403	-0.0758748662106193	27935450.0
HSP101_heat_gain	heat	12h	100	1	27935500	27935600	0.0	0.0	0.0	0.05718954248366	0.0341991341991341	-0.0229904082845259	27935550.0
HSP101_heat_gain	heat	12h	100	1	27935600	27935700	0.0	0.0	0.0	0.1296066252587991	0.014975845410627991	-0.1146307798481711	27935650.0
HSP101_heat_gain	heat	12h	100	1	27935700	27935800	0.0	0.0	0.0	0.0216269841269841	0.0158730158730159	-0.0057539682539682	27935750.0
HSP101_heat_gain	heat	12h	100	1	27935800	27935900	0.0	0.0	0.0	0.0543154761904761	0.0326234841762792	-0.0216919920141969	27935850.0
HSP101_heat_gain	heat	12h	100	1	27935900	27936000	0.0	0.0	0.0	0.0250723610372732	0.044182566404788404	0.0191102053675152	27935950.0
HSP101_heat_gain	heat	12h	100	1	27936000	27936100	0.0	0.0	0.0	0.0294871794871794	0.0132168458781361	-0.0162703336090433	27936050.0
HSP101_heat_gain	heat	12h	100	1	27936100	27936200	0.0	0.0	0.0	0.0128205128205128	0.019708361813624897	0.0068878489931121	27936150.0
HSP101_heat_gain	heat	12h	100	1	27936200	27936300	0.0	0.0	0.0	0.0013717421124828	0.0248964803312628	0.02352473821878	27936250.0
HSP101_heat_gain	heat	12h	100	1	27936300	27936400	0.0	0.0	0.0	0.05210277214334	0.029494348244348198	-0.0226084238989918	27936350.0
HSP101_heat_gain	heat	12h	100	1	27936400	27936500	0.0	0.0500288537	0.0500288537	0.0423768939393939	0.0256923564894579	-0.016684537449936	27936450.0
HSP101_heat_gain	heat	12h	100	1	27936500	27936600	0.0	0.0	0.0	0.027662037037037	0.0579466594865145	0.0302846224494775	27936550.0
HSP101_heat_gain	heat	12h	100	1	27936600	27936700	0.0	0.4768105642	0.4768105642	0.0067451131687242	0.054118566618566497	0.0473734534498423	27936650.0
HSP101_heat_gain	heat	12h	100	1	27936700	27936800	0.1390448539	0.8025102646	0.6634654107	0.0248179803735358	0.0434385695421348	0.018620589168599	27936750.0
HSP101_heat_gain	heat	12h	100	1	27936800	27936900	0.0	0.6189095659	0.6189095659	0.0603014916186958	0.30322416532093943	0.2429226737022436	27936850.0
HSP101_heat_gain	heat	12h	100	1	27936900	27937000	0.1390448539	0.9536211284	0.8145762745	0.0714474414474414	0.4279332830469194	0.356485841599478	27936950.0
HSP101_heat_gain	heat	12h	100	1	27937000	27937100	0.0	0.0558751933	0.0558751933	0.0326719576719576	0.0990622929771002	0.0663903353051426	27937050.0
HSP101_heat_gain	heat	12h	100	1	27937100	27937200	0.0	0.2873635259	0.2873635259	0.0525132275132274	0.0943109253454079	0.0417976978321805	27937150.0
HSP101_heat_gain	heat	12h	100	1	27937200	27937300	0.0	0.5885609508	0.5885609508	0.0429329929329928	0.029966329966329898	-0.0129666629666629	27937250.0
HSP101_heat_gain	heat	12h	100	1	27937300	27937400	0.0	0.3767528568	0.3767528568	0.0394631410256409	0.0895394577584118	0.0500763167327709	27937350.0
HSP101_heat_gain	heat	12h	100	1	27937400	27937500	0.0	0.225641993	0.225641993	0.0118298368298368	0.0625396825396825	0.0507098457098457	27937450.0
HSP101_heat_gain	heat	12h	100	1	27937500	27937600	0.0	1.0350228999	1.0350228999	0.0333333333333333	0.11773651045681689	0.0844031771234836	27937550.0
HSP101_heat_gain	heat	12h	100	1	27937600	27937700	0.0	0.0	0.0	0.0059829059829059	0.0312271062271061	0.0252442002442002	27937650.0
HSP101_heat_gain	heat	12h	100	1	27937700	27937800	0.0	0.4267817105	0.4267817105	0.0498490192934637	0.0665924069432841	0.0167433876498204	27937750.0
HSP101_heat_gain	heat	12h	100	1	27937800	27937900	0.0	0.9376460095	0.9376460095	0.0310940016103059	0.0462881562881562	0.0151941546778503	27937850.0
HSP101_heat_gain	heat	12h	100	1	27937900	27938000	0.0	2.2100035815	2.2100035815	0.1240278496733523	0.055856581689915	-0.0681712679834373	27937950.0
